Longitude,Latitude,Date,ID
-107.805833,29.487489,2003.12.12,2128
-108.299217,29.601933,2003.12.15,2129
-107.734322,31.615358,2003.12.15,2130
-106.382422,30.109908,2003.12.15,2131
-111.571589,36.204294,2003.12.16,2132
-107.997297,34.774189,2003.12.22,2133
-108.603689,30.942956,2003.12.26,2134
-108.047783,31.144519,2003.12.26,2135
-107.995703,30.465736,2003.12.26,2136
-107.661478,29.480661,2003.12.26,2137
-108.61405,30.942053,2004.01.03,2138
-111.278408,35.155106,2004.01.04,2139
-107.056328,31.429292,2004.01.25,2140
-102.004114,32.013339,2004.01.26,2141
-107.689006,29.442025,2004.01.31,2142
-111.457164,36.189786,2004.02.01,2143
-108.802514,36.630892,2004.02.01,2144
-106.139406,33.660544,2004.02.04,2145
-107.622508,31.423842,2004.02.05,2146
-108.586931,31.090133,2004.02.19,2147
-108.013028,30.427886,2004.02.19,2148
-107.845067,29.466111,2004.02.19,2149
-103.173489,30.911225,2004.02.20,2150
-107.693261,29.733472,2004.02.21,2151
-107.129153,30.404722,2004.02.22,2152
-106.165847,29.513394,2004.02.22,2153
-107.752119,30.293892,2004.02.28,2154
-111.497369,36.376158,2004.02.29,2155
-111.477892,36.2511,2004.03.01,2156
-106.786478,29.855097,2004.03.03,2157
-106.361144,29.373297,2004.03.04,2158
-105.530975,30.689294,2004.03.05,2159
-105.318375,30.264206,2004.03.05,2160
-104.766164,29.400219,2004.03.05,2161
-109.851964,33.048361,2004.03.06,2162
-107.579189,31.527233,2004.03.09,2163
-109.522889,33.080067,2004.03.10,2164
-103.986117,38.010686,2004.04.18,2165
-107.294211,31.512169,2004.04.19,2166
-107.361822,31.443506,2004.04.20,2167
-109.923933,32.313247,2004.04.22,2168
-108.605417,31.170486,2004.04.22,2169
-106.982881,30.651919,2004.04.22,2170
-109.952258,32.283117,2004.04.23,2171
-108.047519,31.253775,2004.04.23,2172
-107.708567,30.743614,2004.04.28,2173
-109.931178,32.640206,2004.04.29,2174
-108.639303,31.194856,2004.04.29,2175
-107.973994,29.6472,2004.04.29,2176
-109.556367,32.540172,2004.04.30,2177
-108.315317,31.204364,2004.04.30,2178
-106.473514,30.650219,2004.04.30,2179
-108.008819,29.343375,2004.04.30,2180
-113.452378,37.987958,2004.05.10,2181
-108.116925,31.211706,2004.05.11,2182
-107.926844,31.309003,2004.05.12,2183
-105.106778,31.948294,2004.05.13,2184
-107.310444,31.456397,2004.05.21,2185
-105.706147,34.673972,2004.05.21,2186
-107.353722,31.471397,2004.05.22,2187
-107.356836,31.507553,2004.05.23,2188
-107.56075,31.437661,2004.05.24,2189
-105.336656,33.887358,2004.05.24,2190
-104.920492,33.609222,2004.05.25,2191
-107.555964,31.383433,2004.05.27,2192
-107.695481,31.418214,2004.05.28,2193
-107.502272,31.369308,2004.05.29,2194
-107.017714,31.213703,2004.05.29,2195
-107.364156,31.470625,2004.05.30,2196
-108.014097,31.119939,2004.05.30,2197
-107.011719,30.622564,2004.05.30,2198
-109.248611,31.786431,2004.06.09,2199
-109.271633,31.02835,2004.06.09,2200
-108.616989,30.231053,2004.06.09,2201
-110.013461,32.613811,2004.06.09,2202
-107.408236,31.494639,2004.06.10,2203
-108.427886,31.176642,2004.06.10,2204
-107.318186,31.546792,2004.06.11,2205
-107.477044,31.680508,2004.06.12,2206
-107.075792,31.664372,2004.06.13,2207
-109.919858,32.368272,2004.06.16,2208
-108.512444,32.234183,2004.06.17,2209
-108.537375,31.012456,2006.01.19,2210
-107.390769,30.185039,2006.01.19,2211
